UID,total_pop,pop_4-0,pop_9-5,pop_14-10,pop_19-15,pop_24-20,pop_29-25,pop_34-30,pop_39-35,pop_44-40,pop_49-45,pop_54-50,pop_59-55,pop_64-60,pop_69-65,pop_74-70,pop_79-75,pop_84-80,pop_+85
822,896,85,110,82,58,58,42,71,71,64,45,60,34,33,29,21,10,16,7
2054,471,48,38,40,31,33,38,25,28,32,27,35,23,16,14,14,9,8,9
4019,299,55,32,13,73,23,15,26,23,17,8,9,..,..,..,0,0,0,..
607,985,77,60,70,406,50,53,34,27,37,29,23,18,28,35,25,4,4,7
731,795,47,87,85,67,50,26,35,45,76,47,52,32,39,41,53,5,6,..
3614,166,16,24,15,9,12,..,7,14,13,11,8,..,6,11,9,..,..,0
382,1403,116,130,121,79,67,61,77,117,117,122,68,69,61,65,54,21,21,36
164,383,30,33,30,35,26,24,28,19,26,31,19,12,27,12,12,9,7,4
2044,360,49,33,25,25,20,22,31,29,15,25,7,17,12,14,11,9,10,4
2030,618,73,47,49,52,56,46,47,32,40,24,40,36,19,18,9,8,9,13
1174,862,56,87,100,80,75,50,25,35,66,66,51,66,38,25,19,16,..,4
1205,459,58,36,38,28,28,39,23,51,32,16,30,23,35,16,..,..,..,..
742,1215,119,107,106,105,95,70,85,81,72,77,77,71,46,40,33,13,9,9
748,859,82,82,100,69,63,56,47,49,72,76,43,27,30,30,9,11,8,4
570,963,76,88,101,80,62,57,56,54,64,80,53,47,51,41,30,12,7,5
4008,557,73,75,42,23,21,37,48,47,58,16,18,21,18,52,8,..,0,0
230,864,88,69,67,47,44,42,46,53,60,67,39,39,35,40,43,37,25,24
757,1363,144,113,89,92,97,104,105,87,68,66,80,84,69,71,41,21,13,18
843,412,22,26,21,37,36,43,37,12,17,28,29,36,28,13,..,10,8,7
97,662,38,42,59,62,70,43,25,23,36,38,49,51,31,30,26,19,12,8
765,722,46,76,73,69,59,25,24,42,58,62,58,23,29,25,21,19,6,7
3605,184,25,21,16,11,9,..,10,12,21,12,4,..,4,15,15,6,0,0
670,556,60,68,44,29,18,35,32,45,52,35,15,24,26,34,20,7,4,7
732,810,88,80,70,54,53,50,64,56,56,37,46,38,45,38,17,7,9,..
729,1047,88,97,75,70,55,53,62,68,69,77,78,45,42,39,64,27,16,21
425,1059,65,85,140,122,70,31,39,37,70,120,98,55,33,38,17,14,11,13
791,1064,93,99,99,87,79,68,70,53,75,56,59,74,39,36,24,17,20,16
4551,632,65,78,69,45,17,31,29,56,61,44,24,23,33,31,18,..,..,..
1124,447,33,31,30,33,26,24,29,31,20,32,25,20,12,41,48,13,0,0
396,996,68,104,72,71,79,50,79,65,75,58,59,58,58,44,24,18,10,4
80,930,102,98,76,69,53,41,53,63,81,47,32,48,40,46,28,12,13,28
4304,965,124,133,121,142,65,51,46,62,68,26,12,18,22,40,24,5,4,..
55,583,60,57,50,37,29,39,21,49,43,35,29,23,20,30,19,12,16,15
1366,1267,174,185,152,401,120,44,44,45,41,28,11,12,9,..,0,0,0,0
4303,110,13,7,6,5,..,..,13,11,6,6,..,4,11,15,7,..,0,0
